kode_bps,nama_wilayah,total_tt,jumlah_penduduk,rasio_tt_per_1000,kategori_who
3501,Kabupaten Pacitan,339,555984,0.61,merah
3502,Kabupaten Ponorogo,1141,871825,1.31,hijau
3503,Kabupaten Trenggalek,674,697600,0.97,kuning
3504,Kabupaten Tulungagung,2100,1043182,2.01,hijau
3505,Kabupaten Blitar,899,1163789,0.77,kuning
3506,Kabupaten Kediri,1337,1580092,0.85,kuning
3507,Kabupaten Malang,2974,2619975,1.14,hijau
3508,Kabupaten Lumajang,1081,1044718,1.03,hijau
3509,Kabupaten Jember,2139,2459890,0.87,kuning
3510,Kabupaten Banyuwangi,1438,1617814,0.89,kuning
3511,Kabupaten Bondowoso,620,778789,0.8,kuning
3512,Kabupaten Situbondo,777,685776,1.13,hijau
3513,Kabupaten Probolinggo,919,1174890,0.78,kuning
3514,Kabupaten Pasuruan,1692,1637682,1.03,hijau
3515,Kabupaten Sidoarjo,4280,2282215,1.88,hijau
3516,Kabupaten Mojokerto,1654,1126392,1.47,hijau
3517,Kabupaten Jombang,1567,1268504,1.24,hijau
3518,Kabupaten Nganjuk,936,1057011,0.89,kuning
3519,Kabupaten Madiun,944,683784,1.38,hijau
3520,Kabupaten Magetan,505,629020,0.8,kuning
3521,Kabupaten Ngawi,904,830134,1.09,hijau
3522,Kabupaten Bojonegoro,1637,1252020,1.31,hijau
3523,Kabupaten Tuban,866,1177016,0.74,kuning
3524,Kabupaten Lamongan,2489,1189380,2.09,hijau
3525,Kabupaten Gresik,2692,1326420,2.03,hijau
3526,Kabupaten Bangkalan,1148,994212,1.15,hijau
3527,Kabupaten Sampang,636,975108,0.65,merah
3528,Kabupaten Pamekasan,797,888214,0.9,kuning
3529,Kabupaten Sumenep,859,1092387,0.79,kuning
3571,Kota Kediri,1566,289109,5.42,hijau
3572,Kota Blitar,674,142798,4.72,hijau
3573,Kota Malang,4174,874890,4.77,hijau
3574,Kota Probolinggo,601,239024,2.51,hijau
3575,Kota Pasuruan,295,201585,1.46,hijau
3576,Kota Mojokerto,819,129891,6.31,hijau
3577,Kota Madiun,1512,177399,8.52,hijau
3578,Kota Surabaya,12342,2904751,4.25,hijau
3579,Kota Batu,619,209125,2.96,hijau
