kode_bps,nama_wilayah,tahun,triwulan,tipe_pelayanan,nama_penyakit,kode_icd10,jumlah_pasien,status_kasus,sumber_data,coverage_periode
3501,Kabupaten Pacitan,2024,Q1,rawat_jalan,Infeksi Saluran Pernapasan Akut (ISPA),J06,954,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q1,rawat_inap,Demam Berdarah Dengue (DBD),A90,244,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q1,rawat_inap,Tuberkulosis Paru (TB),A15,135,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q1,rawat_jalan,Diare dan Gastroenteritis,A09,299,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q1,rawat_jalan,Hipertensi Esensial,I10,803,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q1,rawat_jalan,Diabetes Melitus Tipe 2,E11,654,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q1,rawat_inap,Pneumonia,J18,121,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q1,rawat_jalan,Demam Tifoid,A01,253,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q1,rawat_inap,Penyakit Jantung Iskemik,I25,89,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q1,rawat_jalan,Gastritis dan Duodenitis,K29,355,tidak_menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Q2,rawat_jalan,Infeksi Saluran Pernapasan Akut (ISPA),J06,579,menular,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
