kode_bps,nama_wilayah,kode_icd10,nama_penyakit,periode_bulan,kasus_bulan_ini,rata_rata_3bln,delta_persen,status_surveillance
3501,Kabupaten Pacitan,A90,Demam Berdarah Dengue (DBD),2026-08,17,19.4,-12.4,normal
3501,Kabupaten Pacitan,A09,Diare dan Gastroenteritis,2026-08,25,32.5,-23.1,normal
3501,Kabupaten Pacitan,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,63,65.9,-4.4,normal
3501,Kabupaten Pacitan,A27,Leptospirosis,2026-08,1,0.8,25.0,waspada
3502,Kabupaten Ponorogo,A90,Demam Berdarah Dengue (DBD),2026-08,15,13.3,12.8,normal
3502,Kabupaten Ponorogo,A09,Diare dan Gastroenteritis,2026-08,74,76.5,-3.3,normal
3502,Kabupaten Ponorogo,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,36,50.6,-28.9,normal
3502,Kabupaten Ponorogo,A27,Leptospirosis,2026-08,3,3.2,-6.3,normal
3503,Kabupaten Trenggalek,A90,Demam Berdarah Dengue (DBD),2026-08,30,25.7,16.7,normal
3503,Kabupaten Trenggalek,A09,Diare dan Gastroenteritis,2026-08,15,19.3,-22.3,normal
3503,Kabupaten Trenggalek,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,67,56.2,19.2,normal
3503,Kabupaten Trenggalek,A27,Leptospirosis,2026-08,10,8.1,23.5,waspada
3504,Kabupaten Tulungagung,A90,Demam Berdarah Dengue (DBD),2026-08,42,48.2,-12.9,normal
3504,Kabupaten Tulungagung,A09,Diare dan Gastroenteritis,2026-08,65,57.7,12.7,normal
3504,Kabupaten Tulungagung,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,19,16.0,18.8,normal
3504,Kabupaten Tulungagung,A27,Leptospirosis,2026-08,3,2.3,30.4,waspada
3505,Kabupaten Blitar,A90,Demam Berdarah Dengue (DBD),2026-08,57,52.8,8.0,normal
3505,Kabupaten Blitar,A09,Diare dan Gastroenteritis,2026-08,44,48.4,-9.1,normal
3505,Kabupaten Blitar,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,53,47.6,11.3,normal
3505,Kabupaten Blitar,A27,Leptospirosis,2026-08,2,2.1,-4.8,normal
3506,Kabupaten Kediri,A90,Demam Berdarah Dengue (DBD),2026-08,33,35.5,-7.0,normal
3506,Kabupaten Kediri,A09,Diare dan Gastroenteritis,2026-08,49,40.8,20.1,waspada
3506,Kabupaten Kediri,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,11,15.2,-27.6,normal
3506,Kabupaten Kediri,A27,Leptospirosis,2026-08,4,5.8,-31.0,normal
3507,Kabupaten Malang,A90,Demam Berdarah Dengue (DBD),2026-08,83,44.3,87.4,perhatian
3507,Kabupaten Malang,A09,Diare dan Gastroenteritis,2026-08,46,58.3,-21.1,normal
3507,Kabupaten Malang,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,74,70.6,4.8,normal
3507,Kabupaten Malang,A27,Leptospirosis,2026-08,8,9.6,-16.7,normal
3508,Kabupaten Lumajang,A90,Demam Berdarah Dengue (DBD),2026-08,20,27.1,-26.2,normal
3508,Kabupaten Lumajang,A09,Diare dan Gastroenteritis,2026-08,14,18.3,-23.5,normal
3508,Kabupaten Lumajang,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,32,33.5,-4.5,normal
3508,Kabupaten Lumajang,A27,Leptospirosis,2026-08,2,1.9,5.3,normal
3509,Kabupaten Jember,A90,Demam Berdarah Dengue (DBD),2026-08,152,69.8,117.8,perhatian
3509,Kabupaten Jember,A09,Diare dan Gastroenteritis,2026-08,9,11.8,-23.7,normal
3509,Kabupaten Jember,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,100,85.8,16.6,normal
3509,Kabupaten Jember,A27,Leptospirosis,2026-08,5,5.1,-2.0,normal
3510,Kabupaten Banyuwangi,A90,Demam Berdarah Dengue (DBD),2026-08,62,54.5,13.8,normal
3510,Kabupaten Banyuwangi,A09,Diare dan Gastroenteritis,2026-08,59,51.1,15.5,normal
3510,Kabupaten Banyuwangi,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,105,86.2,21.8,waspada
3510,Kabupaten Banyuwangi,A27,Leptospirosis,2026-08,6,5.7,5.3,normal
3511,Kabupaten Bondowoso,A90,Demam Berdarah Dengue (DBD),2026-08,35,30.1,16.3,normal
3511,Kabupaten Bondowoso,A09,Diare dan Gastroenteritis,2026-08,117,93.3,25.4,waspada
3511,Kabupaten Bondowoso,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,10,10.4,-3.8,normal
3511,Kabupaten Bondowoso,A27,Leptospirosis,2026-08,3,2.3,30.4,waspada
3512,Kabupaten Situbondo,A90,Demam Berdarah Dengue (DBD),2026-08,37,43.9,-15.7,normal
3512,Kabupaten Situbondo,A09,Diare dan Gastroenteritis,2026-08,17,16.7,1.8,normal
3512,Kabupaten Situbondo,J06,Infeksi Saluran Pernapasan Akut (ISPA),2026-08,22,21.4,2.8,normal
