kode_bps,nama_wilayah,tahun,topik,nama_indikator,nilai,satuan,sumber_data,coverage_periode
3501,Kabupaten Pacitan,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,12.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,12.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,Tenaga Medis,Jumlah Dokter Umum,84.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,18.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,13.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,Tenaga Medis,Jumlah Dokter Umum,122.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,15.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,7.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3503,Kabupaten Trenggalek,2024,Tenaga Medis,Jumlah Dokter Umum,98.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,19.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,13.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3504,Kabupaten Tulungagung,2024,Tenaga Medis,Jumlah Dokter Umum,164.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3505,Kabupaten Blitar,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,16.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3505,Kabupaten Blitar,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,8.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3505,Kabupaten Blitar,2024,Tenaga Medis,Jumlah Dokter Umum,140.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3506,Kabupaten Kediri,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,20.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3506,Kabupaten Kediri,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,17.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3506,Kabupaten Kediri,2024,Tenaga Medis,Jumlah Dokter Umum,210.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3507,Kabupaten Malang,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,24.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3507,Kabupaten Malang,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,15.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3507,Kabupaten Malang,2024,Tenaga Medis,Jumlah Dokter Umum,320.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3508,Kabupaten Lumajang,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,14.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3508,Kabupaten Lumajang,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,11.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3508,Kabupaten Lumajang,2024,Tenaga Medis,Jumlah Dokter Umum,118.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3509,Kabupaten Jember,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,26.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3509,Kabupaten Jember,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,24.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3509,Kabupaten Jember,2024,Tenaga Medis,Jumlah Dokter Umum,340.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3510,Kabupaten Banyuwangi,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,22.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3510,Kabupaten Banyuwangi,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,23.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3510,Kabupaten Banyuwangi,2024,Tenaga Medis,Jumlah Dokter Umum,235.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3511,Kabupaten Bondowoso,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,13.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3511,Kabupaten Bondowoso,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,12.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3511,Kabupaten Bondowoso,2024,Tenaga Medis,Jumlah Dokter Umum,95.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3512,Kabupaten Situbondo,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,11.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3512,Kabupaten Situbondo,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,9.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3512,Kabupaten Situbondo,2024,Tenaga Medis,Jumlah Dokter Umum,88.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3513,Kabupaten Probolinggo,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,15.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3513,Kabupaten Probolinggo,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,18.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3513,Kabupaten Probolinggo,2024,Tenaga Medis,Jumlah Dokter Umum,130.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3514,Kabupaten Pasuruan,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,19.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3514,Kabupaten Pasuruan,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,14.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3514,Kabupaten Pasuruan,2024,Tenaga Medis,Jumlah Dokter Umum,195.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3515,Kabupaten Sidoarjo,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,18.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3515,Kabupaten Sidoarjo,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,9.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3515,Kabupaten Sidoarjo,2024,Tenaga Medis,Jumlah Dokter Umum,380.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3516,Kabupaten Mojokerto,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,17.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3516,Kabupaten Mojokerto,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,10.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3516,Kabupaten Mojokerto,2024,Tenaga Medis,Jumlah Dokter Umum,155.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3517,Kabupaten Jombang,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,21.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3517,Kabupaten Jombang,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,13.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3517,Kabupaten Jombang,2024,Tenaga Medis,Jumlah Dokter Umum,178.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3518,Kabupaten Nganjuk,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,15.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3518,Kabupaten Nganjuk,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,12.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3518,Kabupaten Nganjuk,2024,Tenaga Medis,Jumlah Dokter Umum,142.0,Orang,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3519,Kabupaten Madiun,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,13.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3519,Kabupaten Madiun,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,13.0,Unit,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
