kode_bps,nama_wilayah,tahun,bulan,aki,akb,akaba,jumlah_kelahiran_hidup,jumlah_kematian_ibu,jumlah_kematian_bayi,k1_coverage,k4_coverage,persen_persalinan_faskes,persen_bblr,prevalensi_stunting,prevalensi_gizi_buruk,prevalensi_gizi_kurang,prevalensi_gizi_lebih,ds_ratio_posyandu,cakupan_idl,persen_desa_uci,dropout_rate_imunisasi,source_id
3501,Kabupaten Pacitan,2024,,107.1,10.0,12.5,15476,17,155,88.9,86.8,96.1,7.1,13.34,1.68,8.0,1.28,79.0,89.1,94.0,3.24,opendata_jatim
3502,Kabupaten Ponorogo,2024,,97.2,9.8,12.2,16731,16,164,95.4,92.7,98.0,3.0,19.8,1.9,11.88,1.47,91.3,96.9,90.0,1.37,opendata_jatim
3503,Kabupaten Trenggalek,2024,,87.2,10.1,12.6,6584,6,66,88.2,85.6,98.9,3.7,16.31,0.66,9.79,2.89,90.1,93.1,90.4,1.77,opendata_jatim
3504,Kabupaten Tulungagung,2024,,81.4,10.3,12.9,6139,5,63,88.7,86.0,94.1,3.6,12.55,1.77,7.53,2.11,78.6,90.6,89.0,4.75,opendata_jatim
3505,Kabupaten Blitar,2024,,101.7,12.3,15.4,15617,16,192,90.6,88.2,98.9,4.5,12.86,1.88,7.72,1.97,88.1,93.1,85.8,4.29,opendata_jatim
3506,Kabupaten Kediri,2024,,83.4,9.7,12.1,18189,15,176,100.0,97.3,96.9,4.7,15.79,1.29,9.47,2.38,79.5,97.6,88.7,3.25,opendata_jatim
3507,Kabupaten Malang,2024,,91.4,12.7,15.9,9304,9,118,93.4,89.7,95.7,3.8,20.96,2.01,12.58,1.46,77.7,99.0,95.2,3.39,opendata_jatim
3508,Kabupaten Lumajang,2024,,119.8,12.2,15.2,11304,14,138,100.0,97.6,97.4,3.1,16.58,1.86,9.95,1.8,85.9,97.5,86.7,2.74,opendata_jatim
3509,Kabupaten Jember,2024,,106.1,13.8,17.2,12433,13,172,100.0,97.6,92.8,5.8,12.04,1.75,7.22,2.52,78.4,96.4,90.6,1.65,opendata_jatim
3510,Kabupaten Banyuwangi,2024,,115.9,12.8,16.0,17757,21,227,93.9,91.4,99.4,5.0,23.07,2.11,13.84,1.72,84.6,89.2,86.2,3.93,opendata_jatim
3511,Kabupaten Bondowoso,2024,,108.0,14.1,17.6,18369,20,259,89.5,86.7,94.0,6.0,12.83,2.24,7.7,1.64,84.2,93.2,95.9,1.8,opendata_jatim
3512,Kabupaten Situbondo,2024,,103.6,11.0,13.8,10107,10,111,99.8,96.7,92.5,4.4,16.79,0.54,10.07,2.77,75.1,93.0,95.6,1.24,opendata_jatim
3513,Kabupaten Probolinggo,2024,,113.0,8.6,10.8,6104,7,52,91.2,88.1,93.0,4.2,22.87,2.37,13.72,2.42,88.3,95.4,97.1,1.76,opendata_jatim
3514,Kabupaten Pasuruan,2024,,87.7,11.3,14.1,6588,6,74,99.7,96.2,96.8,6.6,19.91,0.62,11.95,3.4,76.9,88.6,87.9,3.15,opendata_jatim
3515,Kabupaten Sidoarjo,2024,,83.9,10.0,12.5,7296,6,73,100.0,97.0,96.1,7.7,17.06,0.6,10.24,3.51,91.5,92.9,98.9,4.39,opendata_jatim
3516,Kabupaten Mojokerto,2024,,94.1,14.9,18.6,7724,7,115,100.0,96.7,94.9,3.0,16.88,2.35,10.13,1.86,86.8,89.8,96.0,4.13,opendata_jatim
3517,Kabupaten Jombang,2024,,77.7,10.4,13.0,15844,12,165,100.0,97.6,97.6,6.0,20.62,0.61,12.37,2.51,89.5,94.4,87.4,4.84,opendata_jatim
3518,Kabupaten Nganjuk,2024,,73.4,8.5,10.6,6312,5,54,98.3,96.2,96.3,8.2,22.22,1.66,13.33,1.25,86.2,92.4,93.5,2.27,opendata_jatim
3519,Kabupaten Madiun,2024,,105.8,9.9,12.4,9272,10,92,92.2,90.1,94.4,4.6,14.45,2.0,8.67,2.37,92.0,95.4,99.9,1.29,opendata_jatim
3520,Kabupaten Magetan,2024,,76.6,10.8,13.5,8492,7,92,88.5,85.9,95.3,4.6,18.07,1.59,10.84,3.95,88.7,90.7,92.9,3.67,opendata_jatim
3521,Kabupaten Ngawi,2024,,103.2,15.5,19.4,14086,15,218,89.9,86.7,96.1,3.6,15.59,1.04,9.35,3.15,78.5,89.3,94.5,2.06,opendata_jatim
3522,Kabupaten Bojonegoro,2024,,115.4,8.4,10.5,13004,15,109,97.2,93.2,94.5,3.2,15.01,0.76,9.01,1.48,82.5,97.1,95.6,3.24,opendata_jatim
3523,Kabupaten Tuban,2024,,114.2,15.2,19.0,6832,8,104,94.7,92.1,93.1,6.2,12.9,0.75,7.74,3.7,88.5,97.2,97.9,4.6,opendata_jatim
3524,Kabupaten Lamongan,2024,,103.3,10.8,13.5,8441,9,91,94.8,92.3,97.6,8.4,20.18,2.35,12.11,1.49,88.6,97.6,87.7,2.65,opendata_jatim
3525,Kabupaten Gresik,2024,,86.6,15.4,19.2,7938,7,122,97.6,95.4,94.0,7.5,20.84,2.07,12.5,3.62,89.6,97.5,88.3,4.27,opendata_jatim
3526,Kabupaten Bangkalan,2024,,111.0,15.0,18.8,12541,14,188,91.4,87.9,94.1,5.2,16.2,0.64,9.72,2.05,83.7,95.3,95.2,4.37,opendata_jatim
3527,Kabupaten Sampang,2024,,75.8,15.8,19.8,10425,8,165,90.8,87.3,92.8,4.5,23.27,1.37,13.96,1.94,85.3,98.6,92.7,2.54,opendata_jatim
3528,Kabupaten Pamekasan,2024,,72.2,11.5,14.4,14446,10,166,94.2,91.8,99.1,6.8,14.28,1.97,8.57,2.29,91.1,96.9,98.8,3.49,opendata_jatim
3529,Kabupaten Sumenep,2024,,106.0,10.4,13.0,15868,17,165,91.8,89.0,94.2,5.2,22.18,0.75,13.31,3.82,86.5,92.5,98.5,3.46,opendata_jatim
3571,Kota Kediri,2024,,111.7,10.4,13.0,3965,4,41,91.1,87.7,94.4,6.3,11.25,1.38,6.75,2.53,88.5,96.6,99.4,3.94,opendata_jatim
3572,Kota Blitar,2024,,95.8,13.1,16.4,6897,7,90,91.8,89.4,97.0,7.1,8.68,0.95,5.21,1.07,79.2,97.0,92.1,4.4,opendata_jatim
3573,Kota Malang,2024,,114.3,12.6,15.8,2096,2,26,98.1,94.3,93.1,5.2,11.64,1.88,6.98,3.58,90.1,92.2,96.7,1.88,opendata_jatim
3574,Kota Probolinggo,2024,,72.5,10.0,12.5,7200,5,72,99.2,96.0,97.0,7.4,12.14,2.48,7.28,3.85,90.2,93.0,94.2,3.88,opendata_jatim
3575,Kota Pasuruan,2024,,115.3,11.6,14.5,5635,6,65,89.7,87.1,97.6,5.5,11.41,2.18,6.85,3.33,83.2,97.5,88.6,2.76,opendata_jatim
3576,Kota Mojokerto,2024,,83.6,10.6,13.2,7345,6,78,94.1,92.0,97.2,4.3,10.29,1.91,6.17,2.22,84.2,89.5,91.2,1.83,opendata_jatim
3577,Kota Madiun,2024,,108.5,15.6,19.5,4941,5,77,87.9,85.3,95.6,6.2,11.12,2.39,6.67,2.17,90.2,97.7,97.5,3.15,opendata_jatim
3578,Kota Surabaya,2024,,100.2,9.8,12.2,7518,8,74,90.7,87.9,94.5,3.2,12.37,1.86,7.42,1.5,82.9,92.8,86.9,3.49,opendata_jatim
3579,Kota Batu,2024,,99.6,13.3,16.6,1720,2,23,88.8,86.1,93.4,7.8,15.26,1.02,9.16,2.36,80.7,92.7,98.2,2.11,opendata_jatim
