kode_puskesmas,nama,tipe_rawat,alamat,kode_bps,kecamatan,telepon,jumlah_tt,lat,lng,is_valid_coord,needs_geocoding,source_id,coverage_periode
PKM35010001,Puskesmas Pacitan Rawat Inap 1,rawat_inap,"Jl. Raya Kesehatan No. 1, Kabupaten Pacitan",3501,Kecamatan 1,031-8356787,18,-8.182192,111.016102,1,0,opendata_jatim,2024-OFFICIAL
PKM35010002,Puskesmas Pacitan Rawat Inap 2,rawat_inap,"Jl. Raya Kesehatan No. 2, Kabupaten Pacitan",3501,Kecamatan 2,031-8191161,27,-8.248786,111.129935,1,0,opendata_jatim,2024-OFFICIAL
PKM35010003,Puskesmas Pacitan Rawat Inap 3,rawat_inap,"Jl. Raya Kesehatan No. 3, Kabupaten Pacitan",3501,Kecamatan 3,031-8329258,12,-8.190021,111.017185,1,0,opendata_jatim,2024-OFFICIAL
PKM35010004,Puskesmas Pacitan Rawat Inap 4,rawat_inap,"Jl. Raya Kesehatan No. 4, Kabupaten Pacitan",3501,Kecamatan 4,031-8308496,27,-8.247274,111.108423,1,0,opendata_jatim,2024-OFFICIAL
PKM35010005,Puskesmas Pacitan Rawat Inap 5,rawat_inap,"Jl. Raya Kesehatan No. 5, Kabupaten Pacitan",3501,Kecamatan 5,031-8331148,23,-8.169937,111.124312,1,0,opendata_jatim,2024-OFFICIAL
PKM35010006,Puskesmas Pacitan Rawat Inap 6,rawat_inap,"Jl. Raya Kesehatan No. 6, Kabupaten Pacitan",3501,Kecamatan 6,031-8895667,10,-8.212627,111.056611,1,0,opendata_jatim,2024-OFFICIAL
PKM35010007,Puskesmas Pacitan Rawat Inap 7,rawat_inap,"Jl. Raya Kesehatan No. 7, Kabupaten Pacitan",3501,Kecamatan 7,031-8391369,20,-8.155569,111.123802,1,0,opendata_jatim,2024-OFFICIAL
PKM35010008,Puskesmas Pacitan Rawat Inap 8,rawat_inap,"Jl. Raya Kesehatan No. 8, Kabupaten Pacitan",3501,Kecamatan 8,031-8207175,20,-8.259623,111.165254,1,0,opendata_jatim,2024-OFFICIAL
PKM35010009,Puskesmas Pacitan Rawat Inap 9,rawat_inap,"Jl. Raya Kesehatan No. 9, Kabupaten Pacitan",3501,Kecamatan 9,031-8733052,21,-8.269661,111.027575,1,0,opendata_jatim,2024-OFFICIAL
PKM35010010,Puskesmas Pacitan Rawat Inap 10,rawat_inap,"Jl. Raya Kesehatan No. 10, Kabupaten Pacitan",3501,Kecamatan 10,031-8662275,24,-8.242177,111.019052,1,0,opendata_jatim,2024-OFFICIAL
