kode_bps,nama_wilayah,tahun,topik,nama_indikator,nilai,satuan,sumber_file
3501,Kabupaten Pacitan,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,12,Unit,Open Data Jatim 2024
3501,Kabupaten Pacitan,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,12,Unit,Open Data Jatim 2024
3501,Kabupaten Pacitan,2024,Tenaga Medis,Jumlah Dokter Umum,84,Orang,Dinkes Jatim 2024
3502,Kabupaten Ponorogo,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,18,Unit,Open Data Jatim 2024
3502,Kabupaten Ponorogo,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,13,Unit,Open Data Jatim 2024
3502,Kabupaten Ponorogo,2024,Tenaga Medis,Jumlah Dokter Umum,122,Orang,Dinkes Jatim 2024
3503,Kabupaten Trenggalek,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,15,Unit,Open Data Jatim 2024
3503,Kabupaten Trenggalek,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,7,Unit,Open Data Jatim 2024
3503,Kabupaten Trenggalek,2024,Tenaga Medis,Jumlah Dokter Umum,98,Orang,Dinkes Jatim 2024
3504,Kabupaten Tulungagung,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,19,Unit,Open Data Jatim 2024
3504,Kabupaten Tulungagung,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,13,Unit,Open Data Jatim 2024
3504,Kabupaten Tulungagung,2024,Tenaga Medis,Jumlah Dokter Umum,164,Orang,Dinkes Jatim 2024
3505,Kabupaten Blitar,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,16,Unit,Open Data Jatim 2024
3505,Kabupaten Blitar,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,8,Unit,Open Data Jatim 2024
3505,Kabupaten Blitar,2024,Tenaga Medis,Jumlah Dokter Umum,140,Orang,Dinkes Jatim 2024
3506,Kabupaten Kediri,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,20,Unit,Open Data Jatim 2024
3506,Kabupaten Kediri,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,17,Unit,Open Data Jatim 2024
3506,Kabupaten Kediri,2024,Tenaga Medis,Jumlah Dokter Umum,210,Orang,Dinkes Jatim 2024
3507,Kabupaten Malang,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,24,Unit,Open Data Jatim 2024
3507,Kabupaten Malang,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,15,Unit,Open Data Jatim 2024
3507,Kabupaten Malang,2024,Tenaga Medis,Jumlah Dokter Umum,320,Orang,Dinkes Jatim 2024
3508,Kabupaten Lumajang,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,14,Unit,Open Data Jatim 2024
3508,Kabupaten Lumajang,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,11,Unit,Open Data Jatim 2024
3508,Kabupaten Lumajang,2024,Tenaga Medis,Jumlah Dokter Umum,118,Orang,Dinkes Jatim 2024
3509,Kabupaten Jember,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,26,Unit,Open Data Jatim 2024
3509,Kabupaten Jember,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,24,Unit,Open Data Jatim 2024
3509,Kabupaten Jember,2024,Tenaga Medis,Jumlah Dokter Umum,340,Orang,Dinkes Jatim 2024
3510,Kabupaten Banyuwangi,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,22,Unit,Open Data Jatim 2024
3510,Kabupaten Banyuwangi,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,23,Unit,Open Data Jatim 2024
3510,Kabupaten Banyuwangi,2024,Tenaga Medis,Jumlah Dokter Umum,235,Orang,Dinkes Jatim 2024
3511,Kabupaten Bondowoso,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,13,Unit,Open Data Jatim 2024
3511,Kabupaten Bondowoso,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,12,Unit,Open Data Jatim 2024
3511,Kabupaten Bondowoso,2024,Tenaga Medis,Jumlah Dokter Umum,95,Orang,Dinkes Jatim 2024
3512,Kabupaten Situbondo,2024,Puskesmas,Jumlah Puskesmas Rawat Inap,11,Unit,Open Data Jatim 2024
3512,Kabupaten Situbondo,2024,Puskesmas,Jumlah Puskesmas Non Rawat Inap,9,Unit,Open Data Jatim 2024
