kode_bps,nama_wilayah,tahun,semester,jenis_nakes,jumlah,faskes_level,sumber_data,coverage_periode
3501,Kabupaten Pacitan,2024,1,dokter_umum,99,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,1,dokter_spesialis,46,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,1,dokter_gigi,43,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,1,perawat,404,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,1,bidan,259,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,1,ahli_gizi,22,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3501,Kabupaten Pacitan,2024,1,sanitarian,13,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,1,dokter_umum,135,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,1,dokter_spesialis,90,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,1,dokter_gigi,64,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,1,perawat,490,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,1,bidan,566,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,1,ahli_gizi,21,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
3502,Kabupaten Ponorogo,2024,1,sanitarian,22,Semua Faskes,Dinas Kesehatan Provinsi Jawa Timur,2024-OFFICIAL
