kode_bps,nama_wilayah,tipe
3501,Kabupaten Pacitan,KABUPATEN
3502,Kabupaten Ponorogo,KABUPATEN
3503,Kabupaten Trenggalek,KABUPATEN
3504,Kabupaten Tulungagung,KABUPATEN
3505,Kabupaten Blitar,KABUPATEN
3506,Kabupaten Kediri,KABUPATEN
3507,Kabupaten Malang,KABUPATEN
3508,Kabupaten Lumajang,KABUPATEN
3509,Kabupaten Jember,KABUPATEN
3510,Kabupaten Banyuwangi,KABUPATEN
3511,Kabupaten Bondowoso,KABUPATEN
3512,Kabupaten Situbondo,KABUPATEN
3513,Kabupaten Probolinggo,KABUPATEN
3514,Kabupaten Pasuruan,KABUPATEN
3515,Kabupaten Sidoarjo,KABUPATEN
3516,Kabupaten Mojokerto,KABUPATEN
3517,Kabupaten Jombang,KABUPATEN
3518,Kabupaten Nganjuk,KABUPATEN
3519,Kabupaten Madiun,KABUPATEN
3520,Kabupaten Magetan,KABUPATEN
3521,Kabupaten Ngawi,KABUPATEN
3522,Kabupaten Bojonegoro,KABUPATEN
3523,Kabupaten Tuban,KABUPATEN
3524,Kabupaten Lamongan,KABUPATEN
3525,Kabupaten Gresik,KABUPATEN
3526,Kabupaten Bangkalan,KABUPATEN
3527,Kabupaten Sampang,KABUPATEN
3528,Kabupaten Pamekasan,KABUPATEN
3529,Kabupaten Sumenep,KABUPATEN
3571,Kota Kediri,KOTA
3572,Kota Blitar,KOTA
3573,Kota Malang,KOTA
3574,Kota Probolinggo,KOTA
3575,Kota Pasuruan,KOTA
3576,Kota Mojokerto,KOTA
3577,Kota Madiun,KOTA
3578,Kota Surabaya,KOTA
3579,Kota Batu,KOTA
